,player,team,age,position,Mins,Passing Accuracy,90s
172,Adama Traoré,Fulham,29,"M(CLR),FW",1407,80.9,15.633333333333333
173,Cameron Burgess,Ipswich,29,D(CL),945,81.5,10.5
174,Conor Townsend,Ipswich,32,"D(CL),M(L)",136,67.5,1.511111111111111
175,Liam Delap,Ipswich,22,"AM(R),FW",2194,63.5,24.377777777777776
176,Jørgen Strand Larsen,Wolves,25,FW,2079,64.5,23.1
177,Toti Gomes,Wolves,26,D(CL),1806,86.1,20.066666666666666
178,Sepp van den Berg,Brentford,23,"D(CR),M(R)",1779,84.6,19.766666666666666
179,Timothy Castagne,Fulham,29,"D(CLR),M(LR)",1338,83.3,14.866666666666667
180,Harry Wilson,Fulham,28,AM(CLR),836,78.7,9.28888888888889
181,Lukasz Fabianski,West Ham,39,GK,1071,63.3,11.9
182,Pedro Neto,Chelsea,25,"AM(CLR),FW",1531,86.7,17.011111111111113
183,James Garner,Everton,24,M(CR),862,76.6,9.577777777777778
184,James Milner,Brighton,39,"D(LR),M(CLR)",172,80.0,1.9111111111111112
185,Sander Berge,Fulham,27,M(C),1647,91.0,18.3
186,Alex Palmer,Ipswich,28,GK,450,68.0,5.0
187,Sandro Tonali,Newcastle,24,DMC,1732,85.1,19.244444444444444
188,Matt Doherty,Wolves,33,"D(CLR),M(LR)",1611,84.5,17.9
189,Nico González,Man City,23,M(C),393,92.5,4.366666666666666
190,Fabian Schär,Newcastle,33,D(C),2053,84.2,22.81111111111111
191,Kevin Danso,Tottenham,26,D(C),348,90.9,3.8666666666666667
192,Andy Robertson,Liverpool,31,"D(L),M(L)",2025,88.9,22.5
193,Mateus Fernandes,Southampton,20,AM(CL),2151,83.9,23.9
194,Dara O'Shea,Ipswich,26,D(CR),2313,79.0,25.7
195,Bernd Leno,Fulham,33,GK,2610,79.3,29.0
196,Facundo Buonanotte,Leicester,20,AM(CR),1318,79.0,14.644444444444444
197,Michael Keane,Everton,32,D(CR),812,83.2,9.022222222222222
198,Jefferson Lerma,Crystal Palace,30,"D(CR),DMC",1544,77.1,17.155555555555555
199,Ryan Yates,Nottingham Forest,27,M(C),1543,83.4,17.144444444444446
200,Matty Cash,Aston Villa,27,"D(R),M(CLR)",1400,84.5,15.555555555555555
201,Konstantinos Mavropanos,West Ham,27,D(CR),1660,86.2,18.444444444444443
202,Pape Sarr,Tottenham,22,M(C),1398,88.2,15.533333333333333
203,Mads Hermansen,Leicester,24,GK,1936,58.2,21.511111111111113
204,Matheus Nunes,Man City,26,"D(R),M(CLR)",1043,86.8,11.588888888888889
205,Kostas Tsimikas,Liverpool,28,D(L),513,91.4,5.7
206,Micky van de Ven,Tottenham,23,D(CL),819,91.0,9.1
207,Reece James,Chelsea,25,"D(CR),DMC,M(R)",683,90.1,7.588888888888889
208,Beto,Everton,27,FW,925,60.6,10.277777777777779
209,Andreas Pereira,Fulham,29,M(CLR),1586,77.5,17.622222222222224
210,Adam Webster,Brighton,30,D(C),618,86.0,6.866666666666666
211,Orel Mangala,Everton,27,M(C),1256,90.3,13.955555555555556
212,Emerson,West Ham,30,"D(L),M(L)",1807,81.5,20.07777777777778
213,Will Hughes,Crystal Palace,29,M(CLR),1654,81.5,18.377777777777776
214,Manuel Ugarte Man Utd,,23,DMC,1330,88.6,14.777777777777779
215,Boubacar Kamara,Aston Villa,25,"D(CL),DMC",1082,90.0,12.022222222222222
216,Caoimhín Kelleher,Liverpool,26,GK,720,71.0,8.0
217,Emile Smith Rowe,Fulham,24,AM(CL),1744,91.3,19.377777777777776
218,Ederson,Man City,31,GK,1710,85.4,19.0
219,Georginio Rutter,Brighton,22,"AM(CR),FW",1667,68.6,18.522222222222222
220,Jamie Vardy,Leicester,38,"AM(L),FW",2236,69.2,24.844444444444445
221,Reiss Nelson,Fulham,25,M(LR),486,91.4,5.4
222,Marc Cucurella,Chelsea,26,"D(CL),M(L)",2258,89.8,25.08888888888889
223,Ilkay Gündogan,Man City,34,M(C),1536,92.7,17.066666666666666
224,Ryan Manning,Southampton,28,"D(CL),M(CLR)",976,87.2,10.844444444444445
225,Dominic Calvert-Lewin,Everton,28,"AM(L),FW",1582,63.5,17.57777777777778
226,Tino Livramento,Newcastle,22,D(LR),1942,86.5,21.57777777777778
227,Arijanet Muric,Ipswich,26,GK,1620,68.2,18.0
228,Curtis Jones,Liverpool,24,M(CL),1170,94.3,13.0
229,Ashley Young,Everton,39,"D(LR),M(LR)",1558,73.1,17.31111111111111
230,Robin Olsen,Aston Villa,35,GK,180,70.7,2.0
231,Amadou Onana,Aston Villa,23,DMC,1086,88.4,12.066666666666666
232,Ethan Nwaneri,Arsenal,18,AM(R),601,88.1,6.677777777777778
233,Yasin Ayari,Brighton,21,M(C),1448,85.0,16.08888888888889
234,João Gomes,Wolves,24,M(C),2262,86.2,25.133333333333333
235,Alphonse Areola,West Ham,32,GK,1540,66.4,17.11111111111111
236,Jonny Evans Man Utd,,37,D(CL),290,89.1,3.2222222222222223
237,Youssef Chermiti,Everton,20,FW,11,40.0,0.12222222222222222
238,Emiliano Martínez,Aston Villa,32,GK,2432,79.7,27.022222222222222
239,Gabriel Jesus,Arsenal,27,"AM(LR),FW",604,80.0,6.711111111111111
240,Romain Esse,Crystal Palace,19,AM(R),8,60.0,0.08888888888888889
241,Aaron Ramsdale,Southampton,26,GK,1890,61.2,21.0
242,Ezri Konsa,Aston Villa,27,D(CR),2172,92.8,24.133333333333333
243,Darwin Núñez,Liverpool,25,"AM(CL),FW",966,71.4,10.733333333333333
244,Joe Gomez,Liverpool,27,D(CLR),519,89.4,5.766666666666667
245,Victor Kristiansen,Leicester,22,"D(L),M(L)",2282,82.0,25.355555555555554
